"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "Markdown", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"d:\Projects\select_iq\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Projects\select_iq\lib\questionPools.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 55, 31, 269
"d:\Projects\select_iq\lib\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\select_iq\next.config.mjs", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 2, 8, 26
"d:\Projects\select_iq\package-lock.json", "JSON", 0, 0, 4096, 0, 0, 0, 0, 0, 1, 4097
"d:\Projects\select_iq\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"d:\Projects\select_iq\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\select_iq\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\select_iq\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\select_iq\public\models\models\tiny_face_detector_model-weights_manifest.json", "JSON", 0, 0, 199, 0, 0, 0, 0, 0, 0, 199
"d:\Projects\select_iq\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\select_iq\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\select_iq\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\select_iq\services\Constants.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 0, 0, 37, 37, 174
"d:\Projects\select_iq\services\supabaseClient.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\select_iq\tailwind.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 1, 13
"Total", "-", 4136, 319, 4367, 144, 5, 7, 148, 10680, 3409, 23215
